loc,cases,deaths,date,Region,
BATANGAS,116,0,01/10/2016,REGION IV-A-CALABARZON,01/10/2016
BATANGAS,97,1,01/17/2016,REGION IV-A-CALABARZON,01/17/2016
BATANGAS,94,1,01/24/2016,REGION IV-A-CALABARZON,01/24/2016
BATANGAS,90,0,01/31/2016,REGION IV-A-CALABARZON,01/31/2016
BATANGAS,73,0,02/07/2016,REGION IV-A-CALABARZON,02/07/2016
BATANGAS,62,0,02/14/2016,REGION IV-A-CALABARZON,02/14/2016
BATANGAS,65,0,02/21/2016,REGION IV-A-CALABARZON,02/21/2016
BATANGAS,58,0,02/28/2016,REGION IV-A-CALABARZON,02/28/2016
BATANGAS,53,0,03/06/2016,REGION IV-A-CALABARZON,03/06/2016
BATANGAS,41,0,03/13/2016,REGION IV-A-CALABARZON,03/13/2016
BATANGAS,35,1,03/20/2016,REGION IV-A-CALABARZON,03/20/2016
BATANGAS,29,0,03/27/2016,REGION IV-A-CALABARZON,03/27/2016
BATANGAS,23,0,04/03/2016,REGION IV-A-CALABARZON,04/03/2016
BATANGAS,23,0,04/10/2016,REGION IV-A-CALABARZON,04/10/2016
BATANGAS,32,0,04/17/2016,REGION IV-A-CALABARZON,04/17/2016
BATANGAS,24,0,04/24/2016,REGION IV-A-CALABARZON,04/24/2016
BATANGAS,25,0,05/01/2016,REGION IV-A-CALABARZON,05/01/2016
BATANGAS,19,0,05/08/2016,REGION IV-A-CALABARZON,05/08/2016
BATANGAS,26,0,05/15/2016,REGION IV-A-CALABARZON,05/15/2016
BATANGAS,21,0,05/22/2016,REGION IV-A-CALABARZON,05/22/2016
BATANGAS,26,0,05/29/2016,REGION IV-A-CALABARZON,05/29/2016
BATANGAS,27,0,06/05/2016,REGION IV-A-CALABARZON,06/05/2016
BATANGAS,27,0,06/12/2016,REGION IV-A-CALABARZON,06/12/2016
BATANGAS,40,0,06/19/2016,REGION IV-A-CALABARZON,06/19/2016
BATANGAS,85,0,06/26/2016,REGION IV-A-CALABARZON,06/26/2016
BATANGAS,77,0,07/03/2016,REGION IV-A-CALABARZON,07/03/2016
BATANGAS,83,0,07/10/2016,REGION IV-A-CALABARZON,07/10/2016
BATANGAS,86,0,07/17/2016,REGION IV-A-CALABARZON,07/17/2016
BATANGAS,135,0,07/24/2016,REGION IV-A-CALABARZON,07/24/2016
BATANGAS,189,0,07/31/2016,REGION IV-A-CALABARZON,07/31/2016
BATANGAS,185,0,08/07/2016,REGION IV-A-CALABARZON,08/07/2016
BATANGAS,188,1,08/14/2016,REGION IV-A-CALABARZON,08/14/2016
BATANGAS,236,0,08/21/2016,REGION IV-A-CALABARZON,08/21/2016
BATANGAS,197,0,08/28/2016,REGION IV-A-CALABARZON,08/28/2016
BATANGAS,230,1,09/04/2016,REGION IV-A-CALABARZON,09/04/2016
BATANGAS,240,4,09/11/2016,REGION IV-A-CALABARZON,09/11/2016
BATANGAS,203,1,09/18/2016,REGION IV-A-CALABARZON,09/18/2016
BATANGAS,215,1,09/25/2016,REGION IV-A-CALABARZON,09/25/2016
BATANGAS,166,2,10/02/2016,REGION IV-A-CALABARZON,10/02/2016
BATANGAS,184,1,10/09/2016,REGION IV-A-CALABARZON,10/09/2016
BATANGAS,183,2,10/16/2016,REGION IV-A-CALABARZON,10/16/2016
BATANGAS,132,0,10/23/2016,REGION IV-A-CALABARZON,10/23/2016
BATANGAS,135,0,10/30/2016,REGION IV-A-CALABARZON,10/30/2016
BATANGAS,107,0,11/06/2016,REGION IV-A-CALABARZON,11/06/2016
BATANGAS,156,0,11/13/2016,REGION IV-A-CALABARZON,11/13/2016
BATANGAS,106,0,11/20/2016,REGION IV-A-CALABARZON,11/20/2016
BATANGAS,76,0,11/27/2016,REGION IV-A-CALABARZON,11/27/2016
BATANGAS,83,2,12/04/2016,REGION IV-A-CALABARZON,12/04/2016
BATANGAS,89,0,12/11/2016,REGION IV-A-CALABARZON,12/11/2016
BATANGAS,72,0,12/18/2016,REGION IV-A-CALABARZON,12/18/2016
BATANGAS,46,0,12/25/2016,REGION IV-A-CALABARZON,12/25/2016
BATANGAS,57,0,01/01/2017,REGION IV-A-CALABARZON,01/01/2017
CAVITE,214,1,01/10/2016,REGION IV-A-CALABARZON,01/10/2016
CAVITE,161,2,01/17/2016,REGION IV-A-CALABARZON,01/17/2016
CAVITE,147,1,01/24/2016,REGION IV-A-CALABARZON,01/24/2016
CAVITE,160,0,01/31/2016,REGION IV-A-CALABARZON,01/31/2016
CAVITE,150,0,02/07/2016,REGION IV-A-CALABARZON,02/07/2016
CAVITE,117,0,02/14/2016,REGION IV-A-CALABARZON,02/14/2016
CAVITE,103,0,02/21/2016,REGION IV-A-CALABARZON,02/21/2016
CAVITE,84,1,02/28/2016,REGION IV-A-CALABARZON,02/28/2016
CAVITE,89,0,03/06/2016,REGION IV-A-CALABARZON,03/06/2016
CAVITE,92,1,03/13/2016,REGION IV-A-CALABARZON,03/13/2016
CAVITE,80,0,03/20/2016,REGION IV-A-CALABARZON,03/20/2016
CAVITE,36,0,03/27/2016,REGION IV-A-CALABARZON,03/27/2016
CAVITE,52,0,04/03/2016,REGION IV-A-CALABARZON,04/03/2016
CAVITE,52,0,04/10/2016,REGION IV-A-CALABARZON,04/10/2016
CAVITE,33,1,04/17/2016,REGION IV-A-CALABARZON,04/17/2016
CAVITE,39,0,04/24/2016,REGION IV-A-CALABARZON,04/24/2016
CAVITE,47,0,05/01/2016,REGION IV-A-CALABARZON,05/01/2016
CAVITE,41,0,05/08/2016,REGION IV-A-CALABARZON,05/08/2016
CAVITE,31,0,05/15/2016,REGION IV-A-CALABARZON,05/15/2016
CAVITE,26,0,05/22/2016,REGION IV-A-CALABARZON,05/22/2016
CAVITE,22,0,05/29/2016,REGION IV-A-CALABARZON,05/29/2016
CAVITE,27,0,06/05/2016,REGION IV-A-CALABARZON,06/05/2016
CAVITE,34,1,06/12/2016,REGION IV-A-CALABARZON,06/12/2016
CAVITE,45,2,06/19/2016,REGION IV-A-CALABARZON,06/19/2016
CAVITE,58,0,06/26/2016,REGION IV-A-CALABARZON,06/26/2016
CAVITE,53,0,07/03/2016,REGION IV-A-CALABARZON,07/03/2016
CAVITE,67,0,07/10/2016,REGION IV-A-CALABARZON,07/10/2016
CAVITE,110,0,07/17/2016,REGION IV-A-CALABARZON,07/17/2016
CAVITE,117,0,07/24/2016,REGION IV-A-CALABARZON,07/24/2016
CAVITE,146,1,07/31/2016,REGION IV-A-CALABARZON,07/31/2016
CAVITE,169,0,08/07/2016,REGION IV-A-CALABARZON,08/07/2016
CAVITE,195,0,08/14/2016,REGION IV-A-CALABARZON,08/14/2016
